CustomerID,name,category,type,country,category
222954,No Plan Selected,rotate,standard,us,static
147102,No Plan Selected,rotate,standard,us,static
147102,No Plan Selected,rotate,standard,us,shopify
202647,No Plan Selected,rotate,standard,us,semi-3
169222,No Plan Selected,rotate,standard,us,semi-3
223325,No Plan Selected,rotate,standard,us,semi-3
128846,No Plan Selected,rotate,standard,de,static
222030,No Plan Selected,rotate,standard,br,static
223584,No Plan Selected,rotate,standard,us,static
223731,No Plan Selected,rotate,standard,us,static
161074,No Plan Selected,rotate,standard,us,sneaker
128846,No Plan Selected,rotate,standard,de,semi-3
199413,No Plan Selected,rotate,standard,us,semi-3
223997,No Plan Selected,rotate,standard,us,static
199413,No Plan Selected,rotate,standard,us,rotate
224025,No Plan Selected,rotate,standard,us,static
223766,No Plan Selected,rotate,standard,us,static
112627,No Plan Selected,rotate,standard,de,static
193421,No Plan Selected,rotate,standard,us,static
168221,No Plan Selected,rotate,standard,de,static
224382,No Plan Selected,rotate,standard,us,static
184559,No Plan Selected,rotate,standard,us,static
44020,No Plan Selected,rotate,standard,de,static
42900,No Plan Selected,rotate,standard,us,rotate
158029,No Plan Selected,rotate,standard,us,static
196088,No Plan Selected,rotate,standard,us,semi-3
114902,No Plan Selected,rotate,standard,us,rotate
224501,No Plan Selected,rotate,standard,gb,static
224550,No Plan Selected,rotate,standard,us,static
224557,No Plan Selected,rotate,standard,us,static
206665,No Plan Selected,rotate,standard,us,static
224585,No Plan Selected,rotate,standard,us,static
149020,No Plan Selected,rotate,standard,us,static
197803,No Plan Selected,rotate,standard,br,semi-3
197803,No Plan Selected,rotate,standard,br,static
196347,No Plan Selected,rotate,standard,us,static
224956,No Plan Selected,rotate,standard,de,semi-3
224977,No Plan Selected,rotate,standard,de,static
